tr1,val1,tr2,val2,tr4,val4,tr6,val6,tr8,val8,trelu,valelu,trselu,valselu,trrms,valrms,trsgd,valsgd,trdp1,valdp1,trdp3,valdp3,trdp5,valdp5,trdp7,valdp7
0.413,0.4277,0.4135,0.425,0.4111,0.4239,0.4105,0.4236,0.4105,0.4237,0.4103,0.4247,0.4119,0.4249,0.4157,0.4246,0.4135,0.4253,0.4105,0.424,0.4116,0.4246,0.4136,0.425,0.4155,0.4261
0.4272,0.4266,0.4259,0.4295,0.4265,0.4284,0.4236,0.4242,0.4255,0.4277,0.4253,0.4251,0.4278,0.437,0.4258,0.4272,0.4254,0.4253,0.4242,0.4243,0.425,0.4246,0.4247,0.425,0.4261,0.4255
0.4268,0.426,0.4356,0.441,0.4315,0.4352,0.4252,0.4273,0.4304,0.4325,0.4273,0.4334,0.4472,0.4536,0.4311,0.4365,0.425,0.4251,0.4243,0.425,0.4246,0.4247,0.4257,0.426,0.4257,0.4253
0.4262,0.4264,0.4442,0.4477,0.4403,0.4448,0.4294,0.431,0.4343,0.4357,0.4404,0.4442,0.4602,0.4645,0.4413,0.4453,0.4255,0.425,0.4261,0.427,0.4257,0.4276,0.4262,0.4271,0.4257,0.4266
0.4274,0.4289,0.4501,0.4542,0.4482,0.4527,0.4326,0.4341,0.4371,0.4383,0.4486,0.4522,0.4725,0.4816,0.4485,0.4527,0.425,0.4249,0.4287,0.4305,0.4311,0.4356,0.428,0.429,0.4281,0.4299
0.4305,0.4323,0.46,0.4685,0.4568,0.4606,0.4355,0.4365,0.4393,0.4403,0.4562,0.4625,0.4917,0.5043,0.4568,0.4599,0.4248,0.4249,0.4334,0.4372,0.4401,0.4451,0.4312,0.4341,0.4334,0.4384
0.4342,0.4356,0.4768,0.486,0.4639,0.4668,0.4374,0.4383,0.4411,0.4417,0.4714,0.4819,0.5163,0.5274,0.4633,0.4666,0.4248,0.4248,0.4424,0.4495,0.4524,0.4586,0.4392,0.4462,0.4458,0.4543
0.4376,0.4392,0.4949,0.5034,0.4693,0.4718,0.4391,0.4396,0.4423,0.4428,0.4918,0.5014,0.5374,0.5456,0.4703,0.4753,0.4249,0.4248,0.4573,0.4646,0.4656,0.473,0.454,0.4626,0.4618,0.469
0.4411,0.4425,0.5111,0.518,0.4738,0.4757,0.4402,0.4407,0.4433,0.4437,0.5102,0.518,0.5524,0.5582,0.4814,0.4869,0.4248,0.4248,0.4725,0.4794,0.4803,0.4878,0.4695,0.4782,0.4757,0.4823
0.4444,0.446,0.5241,0.5296,0.4774,0.4791,0.441,0.4415,0.4442,0.4445,0.525,0.531,0.5633,0.5681,0.492,0.4987,0.4248,0.4247,0.4862,0.4929,0.4946,0.5007,0.4861,0.4924,0.4882,0.4937
0.4481,0.4498,0.535,0.54,0.4807,0.482,0.442,0.4424,0.4448,0.4451,0.5359,0.5414,0.5727,0.5767,0.5048,0.5109,0.4248,0.4247,0.4991,0.5052,0.5072,0.5128,0.4988,0.5044,0.4985,0.5033
0.4514,0.4529,0.5442,0.5483,0.4835,0.4847,0.4428,0.443,0.4453,0.4456,0.5462,0.5508,0.5804,0.5838,0.5169,0.522,0.4247,0.4247,0.5102,0.5156,0.518,0.523,0.5097,0.5146,0.5073,0.5116
0.4551,0.4572,0.5523,0.5565,0.4859,0.4869,0.4433,0.4437,0.4458,0.4461,0.5549,0.5584,0.5873,0.5903,0.5266,0.5318,0.4246,0.4247,0.5203,0.5245,0.5276,0.5321,0.519,0.5234,0.516,0.5195
0.4596,0.462,0.56,0.5637,0.4879,0.4888,0.444,0.4442,0.4463,0.4465,0.5619,0.5652,0.5934,0.5959,0.5371,0.5411,0.4247,0.4247,0.5289,0.5322,0.536,0.54,0.5271,0.5312,0.5229,0.5263
0.4645,0.4675,0.5672,0.5703,0.4898,0.4907,0.4444,0.4447,0.4468,0.4469,0.5682,0.5713,0.5986,0.6009,0.5452,0.5487,0.4247,0.4246,0.5354,0.5386,0.5439,0.5469,0.5352,0.5387,0.5296,0.5327
0.4708,0.474,0.5726,0.5747,0.4916,0.4923,0.4449,0.445,0.4471,0.4473,0.5741,0.5764,0.6033,0.6053,0.5516,0.5555,0.4246,0.4246,0.5417,0.5449,0.5499,0.5527,0.5424,0.5458,0.5349,0.5375
0.4767,0.4799,0.5773,0.58,0.493,0.4938,0.4452,0.4454,0.4474,0.4476,0.579,0.5814,0.607,0.609,0.5594,0.5623,0.4247,0.4246,0.5478,0.5506,0.5556,0.5584,0.5485,0.5516,0.5401,0.5426
0.4829,0.486,0.5828,0.5846,0.4946,0.4953,0.4456,0.4457,0.4477,0.4478,0.5838,0.5857,0.6106,0.6122,0.565,0.5677,0.4247,0.4246,0.5534,0.5562,0.5609,0.5632,0.5546,0.5575,0.5452,0.5477
0.4887,0.4916,0.5859,0.588,0.496,0.4967,0.4459,0.446,0.448,0.4481,0.5877,0.5896,0.6136,0.6149,0.5702,0.5729,0.4246,0.4246,0.559,0.5614,0.5653,0.5676,0.5601,0.5626,0.5495,0.5518
0.4947,0.4974,0.5898,0.592,0.4973,0.4978,0.4461,0.4463,0.4482,0.4483,0.5912,0.5929,0.6159,0.6171,0.5755,0.5779,0.4246,0.4246,0.5636,0.566,0.5699,0.5719,0.5653,0.5677,0.5537,0.5557
0.5003,0.5031,0.5939,0.5961,0.4985,0.499,0.4464,0.4466,0.4484,0.4485,0.5945,0.5961,0.6179,0.6189,0.5806,0.5826,0.4247,0.4246,0.5678,0.57,0.5741,0.5761,0.5698,0.5717,0.5579,0.5599
0.5055,0.5078,0.5983,0.5998,0.4994,0.4999,0.4467,0.4468,0.4486,0.4487,0.5977,0.5993,0.62,0.621,0.5846,0.5868,0.4246,0.4246,0.572,0.5738,0.5777,0.5795,0.5737,0.5761,0.5616,0.5633
0.5103,0.5128,0.6015,0.6034,0.5005,0.501,0.4469,0.447,0.4488,0.4489,0.6007,0.6021,0.6222,0.6231,0.589,0.591,0.4246,0.4246,0.5754,0.5774,0.5812,0.5828,0.5781,0.5801,0.5651,0.5667
0.5152,0.5175,0.6052,0.6069,0.5013,0.5018,0.4471,0.4472,0.449,0.4491,0.6033,0.6047,0.6241,0.625,0.5933,0.595,0.4246,0.4246,0.5793,0.5811,0.5844,0.5857,0.5817,0.5836,0.5682,0.5695
